회사명,종목코드,업종
한국선재,025550,1차 철강
미래산업,025560,정밀기기 제조
제이준코스메틱,025620,화학제품
한솔홈데코,025750,목재 가공
한국정보통신,025770,전기 통신
이구산업,025820,1차 비철금속 제조
남해화학,025860,농업 제품 제조
신라에스지,025870,음·식료품 도매
케이씨피드,025880,사료 제조
한국주강,025890,특수 목적용 기계 제조
동화기업,025900,나무제품 제조
동신건설,025950,토목 건설
아난티,025980,숙박시설 운영
제이에스티나,026040,귀금속 및 장신용품 제조
특수건설,026150,토목 건설
스틱인베스트먼트,026890,신탁 및 집합투자
광진실업,026910,1차 철강
부국철강,026940,1차 철강
동서,026960,음·식료품 도매
서울전자통신,027040,기계장비 도매
코리아나,027050,화학제품
아주IB투자,027360,기타 금융
BGF,027410,기타 금융
상보,027580,플라스틱제품 제조
팜스토리,027710,사료 제조
마니커,027740,도축 및 육류 가공
대성창투,027830,신탁 및 집합투자
세하,027970,"펄프, 종이 및 판지 제조"
삼성엔지니어링,028050,건축기술
휴맥스홀딩스,028080,기타 금융
동아지질,028100,기반조성 및 시설물 축조
삼성물산,028260,전문 도매
HLB,028300,선박 건조
팬오션,028670,해상 운송
케이씨,029460,정밀기기 제조
광무,029480,통신 장비 제조
신도리코,029530,컴퓨터 주변장치 제조
삼성카드,029780,기타 금융
코엔텍,029960,폐기물 처리
제일기획,030000,광고
NICE평가정보,030190,서비스
케이티,030200,전기 통신
다올투자증권,030210,금융 지원
드래곤플라이,030350,소프트웨어 개발
한글과컴퓨터,030520,소프트웨어 개발
원익홀딩스,030530,특수 목적용 기계 제조
교보증권,030610,금융 지원
동원수산,030720,어업
비케이탑스,030790,컴퓨터 시스템 관리
양지사,030960,인쇄
아이즈비전,031310,전기 통신
에스에이엠티,031330,기계장비 도매
신세계인터내셔날,031430,의류 소매업
신세계푸드,031440,음식점
오스템,031510,자동차 부품
콤텍시스템,031820,컴퓨터 시스템 관리
엔에스엔,031860,상품 종합 도매
피에스케이홀딩스,031980,특수 목적용 기계 제조
아즈텍WB,032080,섬유제품 염색
